,zon,zon_ef,mer,mer_perp,mer_parl,N,nui,R,F,E,ratio,hem,ge,K,dn
340,83.43407209259848,68.68664994132618,33.79071054322484,0.9304797168967139,5.946159943367214,8.431262930663624e+17,0.5702615995430348,0.0003105147156565898,34.16834881063061,0.26330301266250916,0.9923528788565297,north,8.842167291973231,8.013706623602475e-06,2013-12-25 00:40:00
350,83.81491457730485,69.12412146398351,33.65760104260654,0.917448879995766,5.753472685634259,8.951948248237256e+17,0.5229289327208958,0.00028070205684469824,33.354665392543275,0.26863456026532684,0.9920104641530616,north,8.815902533069698,7.445476031848817e-06,2013-12-25 00:40:00
360,84.07207979537556,69.73381356547219,32.79772913453907,0.8286254856162364,5.019825301139798,9.683512719731827e+17,0.48254775401030997,0.0002539473354173194,33.14541141114398,0.2746709428416994,0.9917812607421973,north,8.789754625790525,6.385216531816218e-06,2013-12-25 00:40:00
370,83.78343274880567,69.57650987560693,32.51677735512614,0.8308478500696141,4.885302430274072,1.0103725629254875e+18,0.4504384319887867,0.00023796502545989052,32.40708305637508,0.22714328426902855,0.9930397221034736,north,8.763722878000134,5.193157689996641e-06,2013-12-25 00:40:00
380,83.67881295156853,69.83747347784802,31.60936946470595,0.7091766310747891,4.19887903432415,1.0642547662588512e+18,0.42372514774469594,0.00022283436208377045,32.061339700975026,0.22958439692225646,0.992890126147328,north,8.737806602679962,4.646205675901801e-06,2013-12-25 00:40:00
390,83.82833742838075,70.12622832913544,31.274090610172006,0.6734649702889121,3.905430706597596,1.0998991546187818e+18,0.39840838439357346,0.00020810715734789583,31.394804647144934,0.2348752299907665,0.992574214127265,north,8.712005117883095,3.743320808931039e-06,2013-12-25 00:40:00
400,84.02609645326825,70.62846211245119,30.495570455721516,0.5282706714785694,3.2481711687499333,1.1368432954390184e+18,0.3772275316060955,0.00019478215163805179,30.54020513087557,0.2418091604458324,0.9921444659807722,north,8.686317746689436,2.7196887981599052e-06,2013-12-25 00:40:00
410,83.72937640131217,70.46391084749102,30.197645002261503,0.5178691872918886,3.096543036522764,1.1517700771881014e+18,0.3622037747177405,0.00018904177811632258,29.84399978806544,0.21255255149444127,0.9929282457584238,north,8.660743817161276,2.264065654393809e-06,2013-12-25 00:40:00
420,83.70031563819474,70.81180172962218,29.2432156979622,0.3424554001448882,2.3635065045797767,1.1787628578996142e+18,0.3467335198236916,0.00018013760981656825,29.096435519574694,0.21601698454527704,0.9926305386929014,north,8.635282662299383,1.7135359798278243e-06,2013-12-25 00:40:00
430,83.67623979446256,70.91087880321211,28.920192337002895,0.2817776372008138,2.1108812610393533,1.181868583591215e+18,0.3355224806939906,0.0001746195582591354,28.309349640328797,0.22061088492827366,0.9922673960683202,north,8.609933619999481,9.458220981086195e-07,2013-12-25 00:40:00
440,83.94980305446978,71.46712210446496,28.17210141507363,0.09354221268561172,1.4640574796147243,1.1906785408505833e+18,0.3235358491829406,0.00016672390294562324,27.38250597158446,0.22446160283256408,0.9918693857908332,north,8.584696033009237,7.104041132232551e-07,2013-12-25 00:40:00
450,84.22562641673187,71.82617063651955,27.952105172440532,0.038765443273441336,1.2279833169979963,1.1883566766068111e+18,0.3130579781051792,0.00016007598552200623,26.527275107492393,0.2295031431646782,0.9914226166911915,north,8.559569248885623,2.7487902298573373e-07,2013-12-25 00:40:00
460,84.32114367702641,72.23298414183454,27.12296225427697,-0.18106615030021211,0.5630867544884667,1.186766083465245e+18,0.30366875295559764,0.00015401468418417658,25.696426104240754,0.23331168889039294,0.9910021578022977,north,8.534552619952782,-1.686650615522476e-08,2013-12-25 00:40:00
470,84.38127331723533,72.40539000786514,26.827605466761252,-0.24833679284669638,0.31818310069936523,1.1775766227121196e+18,0.29697389256631623,0.00015041530006126044,24.944943800179683,0.23613106684694457,0.9906226772251034,north,8.50964550326026,-5.372697703310724e-07,2013-12-25 00:40:00
480,83.57621385914784,71.76100018086156,26.46952226982128,-0.2528754776894552,0.2431662539944981,1.1638153232157056e+18,0.2954634941422223,0.0001538017429911648,24.6829814318331,0.21850633102668052,0.9912251696321301,north,8.484847260541722,-6.430098448861969e-07,2013-12-25 00:40:00
490,83.65216833462675,72.15744085597264,25.59032503461689,-0.5201619357169195,-0.45710123984125794,1.1524175797941999e+18,0.28875437685960026,0.00014951487054817161,23.802013505105986,0.21521527558330847,0.9910391295536832,north,8.460157258174037,-7.262633401848721e-07,2013-12-25 00:40:00
500,83.805382283702,72.40106269101382,25.33584013447345,-0.6000088066948341,-0.6940475719936908,1.137026191305306e+18,0.2842475540365572,0.0001471088699517503,23.227275850345944,0.2102404861562813,0.9910297455098156,north,8.435574867136822,-1.0915599129361462e-06,2013-12-25 00:40:00
80,,,,,,,,,,-1.022805250321886e-10,,south,9.568461737165052,,2013-12-25 00:40:00
90,,,,,,,,,,0.013277259534400185,,south,9.538897985579665,,2013-12-25 00:40:00
100,,,,,,,,,,0.05693477097883708,,south,9.509471037659582,,2013-12-25 00:40:00
110,,,,,,,,,,0.22243198354728305,,south,9.480180050642307,,2013-12-25 00:40:00
120,,,,,,,,,,0.8563453777451083,,south,9.451024188245025,,2013-12-25 00:40:00
130,,,,,,,,,,1.1691929402848418,,south,9.422002620604932,,2013-12-25 00:40:00
140,,,,,,,,,,1.104895809253506,,south,9.393114524220158,,2013-12-25 00:40:00
150,,,,,,,,,,1.1997724155080165,,south,9.364359081891372,,2013-12-25 00:40:00
160,-21.88006824396167,-18.926491830484505,-4.786387819031302,-0.18885071591896507,2.969414114022,681193087393184.1,14.579020298320213,0.023156292452977553,0.6885235755446235,0.8169588696234718,0.4573441409127465,south,9.335735482663964,,2013-12-25 00:40:00
170,1.543950424490299,-2.378611103773814,11.379117839126945,-0.6362159605315276,10.214356941445612,1580808405157575.8,10.655163157022127,0.015260556194885533,1.2197072072842545,0.6875408276668499,0.6395115815733552,south,9.307242921770898,7.609503884885925e-05,2013-12-25 00:40:00
180,26.39855825327974,14.558725587650338,30.25042068184876,-1.4084074944835698,19.45358029452964,3069824682570016.0,7.7703482033499505,0.009972894975376552,1.7729720425622362,0.6386175510958302,0.7351881295327988,south,9.27888060057611,6.651881766503201e-05,2013-12-25 00:40:00
190,43.2764190878669,26.487400818450162,41.76808620894618,-2.039222441640232,24.480439441658284,5631808205570988.0,5.823811003545159,0.006752340217384644,2.46590991767579,0.5749086372609793,0.8109362242848673,south,9.250647726518585,6.068307326903912e-05,2013-12-25 00:40:00
200,54.971922591285434,35.33397339722627,48.01285225942738,-2.474310485832748,26.31171024295535,9845893173971688.0,4.403137455174869,0.0045956068216312426,3.271724883122174,0.5374149386721329,0.8589143576202508,south,9.222543513056936,5.628805149560204e-05,2013-12-25 00:40:00
210,63.05047254563699,41.902764714041325,50.98515567244537,-2.7304006786076536,26.31429951939763,1.6614399052602936e+16,3.389698912882432,0.0031972161401580225,4.262224340902397,0.49219320060006977,0.8964766564350742,south,9.194567179614682,5.221280814685978e-05,2013-12-25 00:40:00
220,70.15486202366293,47.82459954143974,53.178369778059306,-2.9206834254793006,25.921573376610407,2.702755356863928e+16,2.627929552349448,0.0022259373282971237,5.387747667757763,0.4825481061965311,0.9177983316722248,south,9.166717951525998,4.6916389245715917e-05,2013-12-25 00:40:00
230,75.52326260212755,52.18142466565383,55.03674290394578,-3.286031771381695,25.73015618128112,4.170974430478092e+16,2.080633750255426,0.001594245906341073,6.752313841687673,0.4669369886951826,0.9353205755464215,south,9.138995059982113,4.2840548271600744e-05,2013-12-25 00:40:00
240,78.1503606001684,54.65939480398606,54.960435298335426,-3.4201195290432196,24.717638377111214,6.235887290563587e+16,1.6961293196549194,0.00120451452746724,8.48122809729453,0.4486171181173002,0.9497620499241083,south,9.111397741978243,3.872676032705309e-05,2013-12-25 00:40:00
250,80.05321824524039,56.33051653087867,55.197770120817246,-3.684324509541395,24.209374691376308,8.941417187232518e+16,1.4130999772994584,0.0009452568819492231,10.330012809700968,0.42590993795221094,0.9604022873774228,south,9.083925240261097,3.4468907083414053e-05,2013-12-25 00:40:00
260,82.19727560055485,57.952496104385155,56.1835781297783,-4.080062997849981,24.28095551509411,1.2315894494820837e+17,1.191134184107757,0.0007543706161896868,12.17668546269287,0.4025812160158303,0.9679964479410212,south,9.05657680327692,3.0172075486940817e-05,2013-12-25 00:40:00
